round,table_usage,runtime_ms
0,1.19,10.96
0,2.38,9.92
0,3.58,9.63
0,4.77,9.62
0,5.96,9.79
0,7.15,9.69
0,8.34,9.71
0,9.54,9.87
0,10.73,9.97
0,11.92,9.99
0,13.11,9.91
0,14.31,10.03
0,15.50,10.04
0,16.69,10.34
0,17.88,10.17
0,19.07,10.24
0,20.27,10.20
0,21.46,10.63
0,22.65,10.91
0,23.84,11.35
0,25.03,12.93
0,26.23,12.97
0,27.42,13.49
0,28.61,13.39
0,29.80,13.56
0,30.99,13.14
0,32.19,13.27
0,33.38,13.31
0,34.57,13.23
0,35.76,13.37
0,36.95,13.16
0,38.15,13.26
0,39.34,13.36
0,40.53,13.44
0,41.72,13.24
0,42.92,13.32
0,44.11,13.83
0,45.30,14.22
0,46.49,14.98
0,47.68,15.06
0,48.88,15.39
0,50.07,15.87
0,51.26,16.48
0,52.45,16.97
0,53.64,17.07
0,54.84,17.49
0,56.03,18.07
0,57.22,18.48
0,58.41,18.90
0,59.60,19.64
0,60.80,20.15
0,61.99,27.00
0,63.18,23.31
0,64.37,23.40
0,65.57,24.53
0,66.76,25.13
0,67.95,24.84
0,69.14,24.59
0,70.33,24.37
0,71.53,25.53
0,72.72,26.20
0,73.91,27.35
0,75.10,28.45
0,76.29,28.74
0,77.49,29.34
0,78.68,30.22
0,79.87,30.90
0,81.06,32.08
0,82.25,32.90
0,83.45,35.20
0,84.64,36.87
0,85.83,38.25
0,87.02,38.62
0,88.21,40.39
0,89.41,42.96
0,90.60,45.62
0,91.79,50.86
0,92.98,54.98
0,94.18,61.41
0,95.37,71.34
1,1.19,14.97
1,2.38,9.74
1,3.58,12.38
1,4.77,10.15
1,5.96,9.92
1,7.15,10.21
1,8.34,10.03
1,9.54,10.25
1,10.73,10.32
1,11.92,10.20
1,13.11,10.28
1,14.31,10.21
1,15.50,10.41
1,16.69,10.28
1,17.88,10.30
1,19.07,10.15
1,20.27,10.31
1,21.46,10.38
1,22.65,10.50
1,23.84,10.35
1,25.03,10.48
1,26.23,10.66
1,27.42,10.84
1,28.61,10.72
1,29.80,10.74
1,30.99,10.97
1,32.19,11.02
1,33.38,11.09
1,34.57,11.25
1,35.76,11.50
1,36.95,11.51
1,38.15,11.69
1,39.34,11.94
1,40.53,12.09
1,41.72,12.19
1,42.92,12.79
1,44.11,13.35
1,45.30,13.31
1,46.49,13.41
1,47.68,14.22
1,48.88,13.77
1,50.07,14.13
1,51.26,14.81
1,52.45,15.21
1,53.64,15.62
1,54.84,16.51
1,56.03,18.79
1,57.22,30.73
1,58.41,22.50
1,59.60,23.58
1,60.80,23.62
1,61.99,24.00
1,63.18,25.22
1,64.37,25.21
1,65.57,25.40
1,66.76,25.91
1,67.95,26.56
1,69.14,27.05
1,70.33,27.43
1,71.53,28.11
1,72.72,29.46
1,73.91,28.77
1,75.10,29.09
1,76.29,29.62
1,77.49,30.63
1,78.68,31.67
1,79.87,33.30
1,81.06,36.22
1,82.25,36.90
1,83.45,38.07
1,84.64,39.42
1,85.83,40.98
1,87.02,42.48
1,88.21,43.92
1,89.41,47.17
1,90.60,49.55
1,91.79,52.35
1,92.98,61.49
1,94.18,106.67
1,95.37,252.62
2,1.19,21.92
2,2.38,10.18
2,3.58,9.70
2,4.77,9.69
2,5.96,9.94
2,7.15,10.69
2,8.34,11.36
2,9.54,11.73
2,10.73,11.38
2,11.92,11.60
2,13.11,12.21
2,14.31,11.94
2,15.50,12.10
2,16.69,12.11
2,17.88,12.00
2,19.07,11.66
2,20.27,11.54
2,21.46,11.55
2,22.65,11.39
2,23.84,18.14
2,25.03,11.45
2,26.23,11.28
2,27.42,11.30
2,28.61,11.42
2,29.80,11.19
2,30.99,11.30
2,32.19,11.57
2,33.38,11.84
2,34.57,11.57
2,35.76,11.66
2,36.95,11.94
2,38.15,11.90
2,39.34,12.14
2,40.53,12.22
2,41.72,12.42
2,42.92,12.55
2,44.11,12.70
2,45.30,13.17
2,46.49,13.47
2,47.68,13.81
2,48.88,14.11
2,50.07,14.26
2,51.26,14.49
2,52.45,15.07
2,53.64,15.69
2,54.84,16.25
2,56.03,16.52
2,57.22,18.08
2,58.41,20.42
2,59.60,23.15
2,60.80,24.40
2,61.99,24.85
2,63.18,32.23
2,64.37,25.75
2,65.57,25.68
2,66.76,26.82
2,67.95,26.98
2,69.14,27.40
2,70.33,27.92
2,71.53,28.29
2,72.72,28.47
2,73.91,28.96
2,75.10,29.77
2,76.29,30.42
2,77.49,30.68
2,78.68,31.76
2,79.87,32.71
2,81.06,34.86
2,82.25,36.04
2,83.45,34.59
2,84.64,35.35
2,85.83,36.84
2,87.02,38.64
2,88.21,40.42
2,89.41,42.80
2,90.60,45.60
2,91.79,49.72
2,92.98,55.32
2,94.18,66.88
2,95.37,84.85
3,1.19,22.73
3,2.38,10.29
3,3.58,9.78
3,4.77,9.70
3,5.96,9.87
3,7.15,9.75
3,8.34,9.80
3,9.54,9.93
3,10.73,10.10
3,11.92,9.84
3,13.11,9.93
3,14.31,10.00
3,15.50,10.20
3,16.69,10.04
3,17.88,10.04
3,19.07,10.18
3,20.27,10.39
3,21.46,10.48
3,22.65,10.42
3,23.84,10.52
3,25.03,10.66
3,26.23,10.69
3,27.42,12.35
3,28.61,12.95
3,29.80,13.43
3,30.99,13.61
3,32.19,13.63
3,33.38,13.82
3,34.57,17.91
3,35.76,13.78
3,36.95,13.64
3,38.15,14.31
3,39.34,14.83
3,40.53,15.06
3,41.72,15.36
3,42.92,15.15
3,44.11,15.30
3,45.30,15.85
3,46.49,15.78
3,47.68,16.33
3,48.88,17.23
3,50.07,17.59
3,51.26,19.21
3,52.45,19.44
3,53.64,19.78
3,54.84,20.07
3,56.03,20.52
3,57.22,21.12
3,58.41,21.08
3,59.60,21.63
3,60.80,22.39
3,61.99,23.16
3,63.18,23.46
3,64.37,24.59
3,65.57,24.84
3,66.76,25.78
3,67.95,26.69
3,69.14,28.30
3,70.33,29.20
3,71.53,29.59
3,72.72,30.82
3,73.91,32.04
3,75.10,31.95
3,76.29,32.06
3,77.49,33.34
3,78.68,33.68
3,79.87,34.43
3,81.06,35.52
3,82.25,36.72
3,83.45,39.06
3,84.64,40.99
3,85.83,41.69
3,87.02,42.88
3,88.21,44.69
3,89.41,47.12
3,90.60,49.34
3,91.79,53.25
3,92.98,57.70
3,94.18,64.52
3,95.37,77.29
4,1.19,21.33
4,2.38,10.10
4,3.58,9.63
4,4.77,9.64
4,5.96,9.77
4,7.15,9.85
4,8.34,9.80
4,9.54,9.86
4,10.73,10.00
4,11.92,9.97
4,13.11,9.90
4,14.31,9.92
4,15.50,10.14
4,16.69,10.16
4,17.88,10.19
4,19.07,10.35
4,20.27,10.49
4,21.46,10.50
4,22.65,10.43
4,23.84,10.42
4,25.03,10.44
4,26.23,19.63
4,27.42,10.62
4,28.61,10.64
4,29.80,10.90
4,30.99,10.96
4,32.19,11.51
4,33.38,11.54
4,34.57,11.69
4,35.76,11.62
4,36.95,11.96
4,38.15,12.05
4,39.34,12.34
4,40.53,12.33
4,41.72,12.45
4,42.92,12.56
4,44.11,12.83
4,45.30,13.36
4,46.49,13.77
4,47.68,14.21
4,48.88,14.48
4,50.07,14.97
4,51.26,16.01
4,52.45,17.08
4,53.64,17.01
4,54.84,17.67
4,56.03,18.19
4,57.22,18.63
4,58.41,18.49
4,59.60,18.75
4,60.80,19.53
4,61.99,20.10
4,63.18,20.99
4,64.37,21.60
4,65.57,22.47
4,66.76,22.83
4,67.95,24.24
4,69.14,27.76
4,70.33,30.35
4,71.53,30.63
4,72.72,31.02
4,73.91,31.39
4,75.10,32.43
4,76.29,32.58
4,77.49,31.97
4,78.68,33.34
4,79.87,38.16
4,81.06,33.35
4,82.25,35.07
4,83.45,35.75
4,84.64,36.15
4,85.83,37.80
4,87.02,42.34
4,88.21,46.95
4,89.41,51.73
4,90.60,55.83
4,91.79,109.74
4,92.98,164.77
4,94.18,92.46
4,95.37,149.32
5,1.19,23.02
5,2.38,10.06
5,3.58,10.07
5,4.77,9.71
5,5.96,9.75
5,7.15,9.62
5,8.34,9.89
5,9.54,9.79
5,10.73,9.86
5,11.92,9.88
5,13.11,12.45
5,14.31,9.98
5,15.50,10.02
5,16.69,10.17
5,17.88,10.29
5,19.07,10.34
5,20.27,10.57
5,21.46,10.41
5,22.65,10.70
5,23.84,10.76
5,25.03,10.86
5,26.23,11.00
5,27.42,11.05
5,28.61,10.95
5,29.80,10.93
5,30.99,11.05
5,32.19,11.14
5,33.38,11.14
5,34.57,11.20
5,35.76,11.46
5,36.95,11.51
5,38.15,11.62
5,39.34,11.73
5,40.53,12.04
5,41.72,12.10
5,42.92,12.25
5,44.11,12.83
5,45.30,12.69
5,46.49,12.97
5,47.68,13.44
5,48.88,13.73
5,50.07,14.07
5,51.26,14.56
5,52.45,14.96
5,53.64,15.29
5,54.84,15.99
5,56.03,16.44
5,57.22,17.26
5,58.41,17.47
5,59.60,18.05
5,60.80,18.55
5,61.99,19.57
5,63.18,20.33
5,64.37,23.74
5,65.57,23.92
5,66.76,23.01
5,67.95,24.56
5,69.14,23.93
5,70.33,24.28
5,71.53,25.07
5,72.72,25.37
5,73.91,26.42
5,75.10,27.21
5,76.29,27.57
5,77.49,28.47
5,78.68,29.39
5,79.87,29.94
5,81.06,31.35
5,82.25,33.12
5,83.45,33.40
5,84.64,34.82
5,85.83,37.80
5,87.02,39.82
5,88.21,40.53
5,89.41,42.79
5,90.60,45.40
5,91.79,49.74
5,92.98,54.30
5,94.18,61.16
5,95.37,70.64
6,1.19,22.31
6,2.38,10.20
6,3.58,10.08
6,4.77,10.19
6,5.96,10.23
6,7.15,10.21
6,8.34,10.04
6,9.54,10.18
6,10.73,10.28
6,11.92,10.47
6,13.11,10.17
6,14.31,10.78
6,15.50,12.39
6,16.69,12.34
6,17.88,12.50
6,19.07,12.60
6,20.27,12.65
6,21.46,12.60
6,22.65,12.49
6,23.84,12.45
6,25.03,12.45
6,26.23,12.47
6,27.42,12.38
6,28.61,12.17
6,29.80,12.11
6,30.99,11.97
6,32.19,16.40
6,33.38,12.38
6,34.57,11.97
6,35.76,12.12
6,36.95,12.78
6,38.15,13.29
6,39.34,14.11
6,40.53,14.40
6,41.72,14.43
6,42.92,14.17
6,44.11,14.45
6,45.30,14.74
6,46.49,14.87
6,47.68,15.45
6,48.88,15.45
6,50.07,16.12
6,51.26,17.33
6,52.45,19.19
6,53.64,19.76
6,54.84,20.62
6,56.03,20.20
6,57.22,22.30
6,58.41,21.21
6,59.60,22.66
6,60.80,23.79
6,61.99,26.04
6,63.18,27.07
6,64.37,26.73
6,65.57,26.36
6,66.76,27.23
6,67.95,26.62
6,69.14,26.21
6,70.33,26.29
6,71.53,26.77
6,72.72,27.04
6,73.91,27.72
6,75.10,28.72
6,76.29,29.98
6,77.49,32.14
6,78.68,33.75
6,79.87,34.90
6,81.06,39.58
6,82.25,38.37
6,83.45,40.34
6,84.64,45.77
6,85.83,43.50
6,87.02,43.60
6,88.21,49.79
6,89.41,49.57
6,90.60,52.54
6,91.79,56.69
6,92.98,61.43
6,94.18,70.23
6,95.37,78.22
7,1.19,15.35
7,2.38,9.83
7,3.58,9.96
7,4.77,10.42
7,5.96,11.70
7,7.15,11.96
7,8.34,12.02
7,9.54,12.41
7,10.73,12.16
7,11.92,12.13
7,13.11,11.92
7,14.31,12.04
7,15.50,12.03
7,16.69,11.84
7,17.88,12.04
7,19.07,11.87
7,20.27,12.00
7,21.46,11.62
7,22.65,11.80
7,23.84,11.57
7,25.03,11.75
7,26.23,11.59
7,27.42,11.65
7,28.61,11.62
7,29.80,11.72
7,30.99,11.94
7,32.19,11.68
7,33.38,11.70
7,34.57,11.99
7,35.76,12.04
7,36.95,12.10
7,38.15,12.24
7,39.34,12.38
7,40.53,22.20
7,41.72,12.84
7,42.92,13.03
7,44.11,13.03
7,45.30,13.05
7,46.49,13.48
7,47.68,14.10
7,48.88,14.50
7,50.07,14.60
7,51.26,14.98
7,52.45,15.76
7,53.64,15.99
7,54.84,16.37
7,56.03,17.22
7,57.22,18.76
7,58.41,19.84
7,59.60,20.57
7,60.80,20.34
7,61.99,21.69
7,63.18,22.07
7,64.37,23.35
7,65.57,23.48
7,66.76,24.06
7,67.95,24.71
7,69.14,26.29
7,70.33,29.60
7,71.53,30.90
7,72.72,32.06
7,73.91,32.32
7,75.10,32.83
7,76.29,33.64
7,77.49,32.69
7,78.68,32.84
7,79.87,33.24
7,81.06,34.00
7,82.25,34.71
7,83.45,35.62
7,84.64,36.65
7,85.83,38.37
7,87.02,41.37
7,88.21,46.99
7,89.41,49.11
7,90.60,60.42
7,91.79,54.95
7,92.98,59.48
7,94.18,65.97
7,95.37,77.02
8,1.19,22.53
8,2.38,10.04
8,3.58,9.89
8,4.77,9.78
8,5.96,9.77
8,7.15,9.75
8,8.34,9.79
8,9.54,9.87
8,10.73,10.09
8,11.92,9.97
8,13.11,9.95
8,14.31,9.99
8,15.50,10.42
8,16.69,10.36
8,17.88,10.65
8,19.07,10.76
8,20.27,10.80
8,21.46,11.29
8,22.65,11.06
8,23.84,10.96
8,25.03,10.88
8,26.23,10.82
8,27.42,10.96
8,28.61,11.10
8,29.80,11.24
8,30.99,11.34
8,32.19,13.50
8,33.38,13.53
8,34.57,13.38
8,35.76,13.51
8,36.95,13.72
8,38.15,13.64
8,39.34,13.75
8,40.53,13.96
8,41.72,13.81
8,42.92,14.03
8,44.11,14.63
8,45.30,14.83
8,46.49,14.84
8,47.68,14.82
8,48.88,15.05
8,50.07,15.21
8,51.26,15.57
8,52.45,15.67
8,53.64,16.38
8,54.84,16.69
8,56.03,17.56
8,57.22,19.70
8,58.41,21.85
8,59.60,24.10
8,60.80,23.19
8,61.99,24.93
8,63.18,25.80
8,64.37,26.78
8,65.57,27.52
8,66.76,27.97
8,67.95,28.01
8,69.14,28.35
8,70.33,29.21
8,71.53,29.62
8,72.72,29.86
8,73.91,29.52
8,75.10,30.41
8,76.29,30.73
8,77.49,31.25
8,78.68,32.36
8,79.87,34.61
8,81.06,36.78
