round,table_usage,runtime_ms
0,1.19,17.33
0,2.38,9.80
0,3.58,7.73
0,4.77,8.31
0,5.96,8.64
0,7.15,9.02
0,8.34,9.08
0,9.54,8.26
0,10.73,8.84
0,11.92,9.55
0,13.11,8.42
0,14.30,9.42
0,15.50,9.85
0,16.69,9.94
0,17.88,10.30
0,19.07,9.29
0,20.27,9.42
0,21.46,9.48
0,22.65,9.34
0,23.84,10.43
0,25.03,10.80
0,26.23,10.18
0,27.42,10.47
0,28.61,11.22
0,29.80,11.05
0,30.99,10.33
0,32.19,11.39
0,33.38,11.61
0,34.57,11.40
0,35.76,10.99
0,36.95,11.88
0,38.15,12.33
0,39.34,11.74
0,40.53,11.65
0,41.72,11.77
0,42.91,12.11
0,44.11,12.29
0,45.30,11.74
0,46.49,12.33
0,47.68,11.74
0,48.88,12.63
0,50.07,11.89
0,51.26,12.14
0,52.45,13.77
0,53.64,12.29
0,54.84,13.52
0,56.03,12.52
0,57.22,13.25
0,58.41,12.84
0,59.60,14.30
0,60.80,14.36
0,61.99,13.19
0,63.18,14.64
0,64.37,14.72
0,65.56,14.18
0,66.76,14.30
0,67.95,14.91
0,69.14,14.99
0,70.33,13.87
0,71.52,14.82
0,72.72,14.27
0,73.91,17.59
0,75.10,15.17
0,76.29,14.60
0,77.49,15.15
0,78.68,15.57
0,79.87,15.39
0,81.06,16.53
0,82.25,16.41
0,83.45,16.58
0,84.64,16.52
0,85.83,16.65
0,87.02,16.91
0,88.21,16.08
0,89.41,16.48
0,90.60,17.64
0,91.79,16.55
0,92.98,16.76
0,94.17,17.35
0,95.37,16.62
0,96.56,17.36
1,1.19,19.15
1,2.38,7.59
1,3.58,7.88
1,4.77,8.08
1,5.96,8.02
1,7.15,8.54
1,8.34,8.41
1,9.54,8.19
1,10.73,8.96
1,11.92,9.52
1,13.11,9.03
1,14.30,9.33
1,15.50,9.14
1,16.69,9.27
1,17.88,9.32
1,19.07,9.75
1,20.27,9.98
1,21.46,9.63
1,22.65,9.67
1,23.84,9.72
1,25.03,9.94
1,26.23,10.42
1,27.42,10.05
1,28.61,10.21
1,29.80,10.74
1,30.99,10.41
1,32.19,10.44
1,33.38,10.78
1,34.57,10.97
1,35.76,10.75
1,36.95,10.92
1,38.15,11.07
1,39.34,11.01
1,40.53,10.90
1,41.72,12.04
1,42.91,11.81
1,44.11,12.24
1,45.30,12.18
1,46.49,12.77
1,47.68,12.31
1,48.88,12.53
1,50.07,12.48
1,51.26,12.71
1,52.45,12.70
1,53.64,13.01
1,54.84,13.60
1,56.03,13.97
1,57.22,13.76
1,58.41,13.56
1,59.60,13.77
1,60.80,14.63
1,61.99,13.68
1,63.18,13.01
1,64.37,14.27
1,65.56,14.53
1,66.76,14.02
1,67.95,14.22
1,69.14,14.05
1,70.33,14.43
1,71.52,14.56
1,72.72,15.11
1,73.91,14.97
1,75.10,16.25
1,76.29,14.90
1,77.49,14.78
1,78.68,15.12
1,79.87,15.55
1,81.06,15.58
1,82.25,15.48
1,83.45,16.27
1,84.64,15.36
1,85.83,15.18
1,87.02,16.57
1,88.21,15.68
1,89.41,16.95
1,90.60,18.25
1,91.79,17.16
1,92.98,18.58
1,94.17,17.42
1,95.37,17.72
1,96.56,18.64
2,1.19,15.94
2,2.38,8.00
2,3.58,7.96
2,4.77,7.62
2,5.96,7.94
2,7.15,8.27
2,8.34,8.22
2,9.54,8.04
2,10.73,8.99
2,11.92,8.84
