round,table_usage,runtime_ns
0,1.19,227.00
0,2.38,68.00
0,3.58,71.00
0,4.77,68.00
0,5.96,67.00
0,7.15,71.00
0,8.34,68.00
0,9.54,68.00
0,10.73,68.00
0,11.92,71.00
0,13.11,75.00
0,14.31,88.00
0,15.50,83.00
0,16.69,76.00
0,17.88,80.00
0,19.07,79.00
0,20.27,83.00
0,21.46,79.00
0,22.65,80.00
0,23.84,76.00
0,25.03,76.00
0,26.23,79.00
0,27.42,76.00
0,28.61,76.00
0,29.80,76.00
0,30.99,79.00
0,32.19,75.00
0,33.38,76.00
0,34.57,75.00
0,35.76,76.00
0,36.95,76.00
0,38.15,79.00
0,39.34,76.00
0,40.53,76.00
0,41.72,79.00
0,42.92,83.00
0,44.11,91.00
0,45.30,95.00
0,46.49,84.00
0,47.68,91.00
0,48.88,88.00
0,50.07,88.00
0,51.26,87.00
0,52.45,88.00
0,53.64,87.00
0,54.84,88.00
0,56.03,87.00
0,57.22,87.00
0,58.41,88.00
0,59.60,99.00
0,60.80,96.00
0,61.99,96.00
0,63.18,99.00
0,64.37,95.00
0,65.57,95.00
0,66.76,96.00
0,67.95,103.00
0,69.14,127.00
0,70.33,115.00
0,71.53,99.00
0,72.72,103.00
0,73.91,100.00
0,75.10,104.00
0,76.29,104.00
0,77.49,124.00
0,78.68,127.00
0,79.87,112.00
0,81.06,112.00
0,82.25,115.00
0,83.45,120.00
0,84.64,119.00
0,85.83,120.00
0,87.02,123.00
0,88.21,127.00
0,89.41,132.00
0,90.60,151.00
0,91.79,159.00
0,92.98,177.00
0,94.18,193.00
0,95.37,204.00
0,96.56,248.00
1,1.19,228.00
1,2.38,75.00
1,3.58,76.00
1,4.77,91.00
1,5.96,76.00
1,7.15,83.00
1,8.34,80.00
1,9.54,80.00
1,10.73,76.00
1,11.92,76.00
1,13.11,75.00
1,14.31,76.00
1,15.50,76.00
1,16.69,75.00
1,17.88,75.00
1,19.07,75.00
1,20.27,75.00
1,21.46,72.00
1,22.65,75.00
1,23.84,72.00
1,25.03,72.00
1,26.23,75.00
1,27.42,72.00
1,28.61,75.00
1,29.80,72.00
1,30.99,75.00
1,32.19,72.00
1,33.38,79.00
1,34.57,103.00
1,35.76,92.00
1,36.95,84.00
1,38.15,91.00
1,39.34,83.00
1,40.53,88.00
1,41.72,84.00
1,42.92,84.00
1,44.11,91.00
1,45.30,92.00
1,46.49,92.00
1,47.68,91.00
1,48.88,92.00
1,50.07,92.00
1,51.26,91.00
1,52.45,88.00
1,53.64,92.00
1,54.84,95.00
1,56.03,91.00
1,57.22,95.00
1,58.41,88.00
1,59.60,99.00
1,60.80,92.00
1,61.99,95.00
1,63.18,99.00
1,64.37,95.00
1,65.57,92.00
1,66.76,99.00
1,67.95,99.00
1,69.14,96.00
1,70.33,99.00
1,71.53,95.00
1,72.72,100.00
1,73.91,104.00
1,75.10,104.00
1,76.29,107.00
1,77.49,104.00
1,78.68,107.00
1,79.87,104.00
1,81.06,115.00
1,82.25,116.00
1,83.45,127.00
1,84.64,123.00
1,85.83,128.00
1,87.02,135.00
1,88.21,132.00
1,89.41,128.00
1,90.60,136.00
1,91.79,147.00
1,92.98,172.00
1,94.18,200.00
1,95.37,228.00
1,96.56,263.00
2,1.19,223.00
2,2.38,68.00
2,3.58,67.00
2,4.77,68.00
2,5.96,68.00
2,7.15,67.00
2,8.34,71.00
2,9.54,67.00
2,10.73,71.00
2,11.92,80.00
2,13.11,83.00
2,14.31,83.00
2,15.50,84.00
2,16.69,83.00
2,17.88,80.00
2,19.07,80.00
2,20.27,76.00
2,21.46,79.00
2,22.65,76.00
2,23.84,91.00
2,25.03,84.00
2,26.23,84.00
2,27.42,80.00
2,28.61,76.00
2,29.80,76.00
2,30.99,79.00
2,32.19,76.00
2,33.38,79.00
2,34.57,80.00
2,35.76,91.00
2,36.95,76.00
2,38.15,76.00
2,39.34,76.00
2,40.53,76.00
2,41.72,79.00
2,42.92,76.00
2,44.11,79.00
2,45.30,79.00
2,46.49,79.00
2,47.68,79.00
2,48.88,79.00
2,50.07,76.00
2,51.26,83.00
2,52.45,80.00
2,53.64,86.00
2,54.84,80.00
2,56.03,80.00
2,57.22,80.00
2,58.41,83.00
2,59.60,80.00
2,60.80,83.00
2,61.99,80.00
2,63.18,83.00
2,64.37,83.00
2,65.57,83.00
2,66.76,83.00
2,67.95,84.00
2,69.14,84.00
2,70.33,87.00
2,71.53,84.00
2,72.72,87.00
2,73.91,87.00
2,75.10,88.00
2,76.29,91.00
2,77.49,92.00
2,78.68,156.00
2,79.87,211.00
2,81.06,115.00
2,82.25,112.00
2,83.45,119.00
2,84.64,124.00
2,85.83,128.00
2,87.02,136.00
2,88.21,132.00
2,89.41,143.00
2,90.60,144.00
2,91.79,155.00
2,92.98,184.00
2,94.18,219.00
2,95.37,252.00
2,96.56,291.00
3,1.19,259.00
3,2.38,84.00
3,3.58,83.00
3,4.77,91.00
3,5.96,84.00
3,7.15,84.00
3,8.34,87.00
3,9.54,88.00
3,10.73,87.00
3,11.92,191.00
3,13.11,84.00
3,14.31,87.00
3,15.50,88.00
3,16.69,84.00
3,17.88,84.00
3,19.07,80.00
3,20.27,83.00
3,21.46,87.00
3,22.65,80.00
3,23.84,91.00
3,25.03,91.00
3,26.23,80.00
3,27.42,91.00
3,28.61,83.00
3,29.80,79.00
3,30.99,83.00
3,32.19,80.00
3,33.38,83.00
3,34.57,83.00
3,35.76,83.00
3,36.95,88.00
3,38.15,91.00
3,39.34,91.00
3,40.53,88.00
3,41.72,90.00
3,42.92,91.00
3,44.11,88.00
3,45.30,91.00
3,46.49,95.00
3,47.68,92.00
