round,table_usage,runtime_ns
0,1.19,76.00
0,2.38,43.00
0,3.58,47.00
0,4.77,47.00
0,5.96,44.00
0,7.15,51.00
0,8.34,55.00
0,9.54,52.00
0,10.73,55.00
0,11.92,52.00
0,13.11,55.00
0,14.30,55.00
0,15.50,56.00
0,16.69,59.00
0,17.88,56.00
0,19.07,59.00
0,20.27,56.00
0,21.46,59.00
0,22.65,59.00
0,23.84,59.00
0,25.03,63.00
0,26.23,60.00
0,27.42,63.00
0,28.61,67.00
0,29.80,64.00
0,30.99,68.00
0,32.19,68.00
0,33.38,68.00
0,34.57,72.00
0,35.76,72.00
0,36.95,72.00
0,38.15,75.00
0,39.34,79.00
0,40.53,76.00
0,41.72,91.00
0,42.91,96.00
0,44.11,95.00
0,45.30,92.00
0,46.49,92.00
0,47.68,92.00
0,48.88,99.00
0,50.07,99.00
0,51.26,96.00
0,52.45,96.00
0,53.64,91.00
0,54.84,92.00
0,56.03,91.00
0,57.22,92.00
0,58.41,92.00
0,59.60,92.00
0,60.80,96.00
0,61.99,99.00
0,63.18,100.00
0,64.37,99.00
0,65.56,103.00
0,66.76,107.00
0,67.95,116.00
0,69.14,123.00
0,70.33,119.00
0,71.52,124.00
0,72.72,123.00
0,73.91,120.00
0,75.10,123.00
0,76.29,116.00
0,77.49,119.00
0,78.68,116.00
0,79.87,119.00
0,81.06,116.00
0,82.25,120.00
0,83.45,120.00
0,84.64,120.00
0,85.83,132.00
0,87.02,139.00
0,88.21,136.00
0,89.41,136.00
0,90.60,131.00
0,91.79,143.00
0,92.98,140.00
0,94.17,139.00
0,95.37,139.00
0,96.56,136.00
1,1.19,81.00
1,2.38,39.00
1,3.58,36.00
1,4.77,36.00
1,5.96,39.00
1,7.15,43.00
1,8.34,44.00
1,9.54,51.00
1,10.73,59.00
1,11.92,60.00
1,13.11,59.00
1,14.30,56.00
1,15.50,56.00
1,16.69,59.00
1,17.88,59.00
1,19.07,59.00
1,20.27,64.00
1,21.46,63.00
1,22.65,63.00
1,23.84,60.00
1,25.03,60.00
1,26.23,60.00
1,27.42,63.00
1,28.61,64.00
1,29.80,64.00
1,30.99,68.00
1,32.19,71.00
1,33.38,68.00
1,34.57,71.00
1,35.76,75.00
1,36.95,72.00
1,38.15,76.00
1,39.34,76.00
1,40.53,79.00
1,41.72,79.00
1,42.91,80.00
1,44.11,80.00
1,45.30,95.00
1,46.49,96.00
1,47.68,96.00
1,48.88,95.00
1,50.07,103.00
1,51.26,96.00
1,52.45,103.00
1,53.64,99.00
1,54.84,99.00
1,56.03,96.00
1,57.22,99.00
1,58.41,100.00
1,59.60,99.00
1,60.80,103.00
1,61.99,100.00
1,63.18,104.00
1,64.37,104.00
1,65.56,103.00
1,66.76,103.00
1,67.95,108.00
1,69.14,127.00
1,70.33,120.00
1,71.52,116.00
1,72.72,119.00
1,73.91,123.00
1,75.10,116.00
1,76.29,116.00
1,77.49,116.00
1,78.68,116.00
1,79.87,116.00
1,81.06,119.00
1,82.25,119.00
1,83.45,119.00
1,84.64,120.00
1,85.83,123.00
1,87.02,123.00
1,88.21,127.00
1,89.41,128.00
1,90.60,127.00
1,91.79,127.00
1,92.98,135.00
1,94.17,148.00
1,95.37,147.00
1,96.56,144.00
2,1.19,75.00
2,2.38,35.00
2,3.58,36.00
2,4.77,36.00
2,5.96,39.00
2,7.15,43.00
2,8.34,43.00
2,9.54,44.00
2,10.73,47.00
2,11.92,51.00
2,13.11,48.00
2,14.30,48.00
2,15.50,52.00
2,16.69,56.00
2,17.88,64.00
2,19.07,68.00
2,20.27,67.00
2,21.46,67.00
2,22.65,67.00
2,23.84,67.00
2,25.03,67.00
2,26.23,68.00
2,27.42,76.00
2,28.61,76.00
2,29.80,75.00
2,30.99,72.00
2,32.19,75.00
2,33.38,75.00
2,34.57,75.00
2,35.76,76.00
2,36.95,72.00
2,38.15,76.00
2,39.34,79.00
2,40.53,80.00
2,41.72,79.00
2,42.91,83.00
2,44.11,80.00
2,45.30,84.00
2,46.49,83.00
2,47.68,84.00
2,48.88,100.00
2,50.07,107.00
2,51.26,111.00
2,52.45,108.00
2,53.64,107.00
2,54.84,103.00
2,56.03,139.00
2,57.22,126.00
2,58.41,124.00
2,59.60,108.00
2,60.80,104.00
2,61.99,111.00
2,63.18,107.00
2,64.37,104.00
2,65.56,115.00
2,66.76,112.00
2,67.95,115.00
2,69.14,115.00
2,70.33,119.00
2,71.52,111.00
2,72.72,111.00
2,73.91,112.00
2,75.10,120.00
2,76.29,131.00
2,77.49,127.00
2,78.68,124.00
2,79.87,127.00
2,81.06,124.00
2,82.25,123.00
2,83.45,123.00
2,84.64,123.00
2,85.83,124.00
2,87.02,127.00
2,88.21,127.00
2,89.41,140.00
2,90.60,143.00
2,91.79,136.00
2,92.98,136.00
2,94.17,151.00
2,95.37,147.00
2,96.56,144.00
3,1.19,75.00
3,2.38,36.00
3,3.58,39.00
3,4.77,39.00
3,5.96,39.00
3,7.15,40.00
3,8.34,47.00
3,9.54,44.00
3,10.73,44.00
3,11.92,47.00
3,13.11,51.00
3,14.30,48.00
3,15.50,51.00
3,16.69,52.00
3,17.88,59.00
3,19.07,71.00
3,20.27,68.00
3,21.46,64.00
3,22.65,67.00
3,23.84,64.00
3,25.03,64.00
3,26.23,64.00
3,27.42,67.00
3,28.61,67.00
3,29.80,68.00
3,30.99,71.00
3,32.19,71.00
3,33.38,68.00
3,34.57,72.00
3,35.76,79.00
3,36.95,88.00
3,38.15,87.00
3,39.34,87.00
3,40.53,87.00
3,41.72,87.00
3,42.91,87.00
3,44.11,87.00
3,45.30,87.00
3,46.49,87.00
3,47.68,87.00
3,48.88,88.00
3,50.07,103.00
3,51.26,99.00
3,52.45,100.00
3,53.64,99.00
3,54.84,103.00
3,56.03,103.00
3,57.22,107.00
3,58.41,104.00
