round,table_usage,runtime_ns
0,1.19,125.00
0,2.38,35.00
0,3.58,35.00
0,4.77,32.00
0,5.96,35.00
0,7.15,32.00
0,8.34,32.00
0,9.54,35.00
0,10.73,32.00
0,11.92,35.00
0,13.11,32.00
0,14.31,35.00
0,15.50,35.00
0,16.69,32.00
0,17.88,35.00
0,19.07,35.00
0,20.27,35.00
0,21.46,35.00
0,22.65,32.00
0,23.84,32.00
0,25.03,35.00
0,26.23,35.00
0,27.42,35.00
0,28.61,35.00
0,29.80,36.00
0,30.99,39.00
0,32.19,36.00
0,33.38,36.00
0,34.57,39.00
0,35.76,40.00
0,36.95,43.00
0,38.15,43.00
0,39.34,43.00
0,40.53,44.00
0,41.72,43.00
0,42.92,40.00
0,44.11,43.00
0,45.30,43.00
0,46.49,43.00
0,47.68,43.00
0,48.88,43.00
0,50.07,40.00
0,51.26,40.00
0,52.45,43.00
0,53.64,43.00
0,54.84,40.00
0,56.03,40.00
0,57.22,40.00
0,58.41,43.00
0,59.60,43.00
0,60.80,40.00
0,61.99,40.00
0,63.18,43.00
0,64.37,43.00
0,65.57,40.00
0,66.76,43.00
0,67.95,43.00
0,69.14,43.00
0,70.33,40.00
0,71.53,43.00
0,72.72,44.00
0,73.91,44.00
0,75.10,44.00
0,76.29,44.00
0,77.49,47.00
0,78.68,47.00
0,79.87,47.00
0,81.06,48.00
0,82.25,51.00
0,83.45,51.00
0,84.64,52.00
0,85.83,55.00
0,87.02,60.00
0,88.21,67.00
0,89.41,72.00
0,90.60,79.00
0,91.79,80.00
0,92.98,91.00
0,94.18,92.00
0,95.37,111.00
0,96.56,131.00
1,1.19,96.00
1,2.38,32.00
1,3.58,35.00
1,4.77,35.00
1,5.96,32.00
1,7.15,32.00
1,8.34,32.00
1,9.54,35.00
1,10.73,32.00
1,11.92,35.00
1,13.11,32.00
1,14.31,35.00
1,15.50,35.00
1,16.69,32.00
1,17.88,35.00
1,19.07,35.00
1,20.27,35.00
1,21.46,32.00
1,22.65,32.00
1,23.84,35.00
1,25.03,35.00
1,26.23,36.00
1,27.42,35.00
1,28.61,35.00
1,29.80,35.00
1,30.99,36.00
1,32.19,40.00
1,33.38,43.00
1,34.57,40.00
1,35.76,44.00
1,36.95,40.00
1,38.15,40.00
1,39.34,40.00
1,40.53,40.00
1,41.72,40.00
1,42.92,43.00
1,44.11,40.00
1,45.30,43.00
1,46.49,40.00
